"SUL"	"Reuse"	"DeltaM"	"Method"	"N"	"EQ_Resets"	"sd"	"se"	"ci"
"srv_098za"	"srv_101"	27	"∂L*M"	500	4075.992	1.00096946994377	0.0447647155639242	0.0879505523476459
"srv_098za"	"srv_101"	27	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_101"	27	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_101"	27	"DL*M"	500	4075	0	0	0
"srv_098za"	"srv_101h"	0	"∂L*M"	500	4075.904	0.996378210860794	0.0445593882156871	0.0875471396717909
"srv_098za"	"srv_101h"	0	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M"	500	4075	0	0	0
"srv_100"	"null"	0	"L*M"	73	5100	0	0	0
"srv_100"	"srv_097"	88	"∂L*M"	500	5238.996	143.08709171561	6.399049275577	12.5724001861046
"srv_100"	"srv_097"	88	"Adp"	500	5100	0	0	0
"srv_100"	"srv_097"	88	"DL*M+"	500	5100	0	0	0
"srv_100"	"srv_097"	88	"DL*M"	500	5219.284	121.76533553469	5.44551135117277	10.6989562006062
"srv_100"	"srv_097c"	79	"∂L*M"	500	5100	0	0	0
"srv_100"	"srv_097c"	79	"Adp"	500	5100	0	0	0
"srv_100"	"srv_097c"	79	"DL*M+"	500	5100	0	0	0
"srv_100"	"srv_097c"	79	"DL*M"	500	5100	0	0	0
"srv_100"	"srv_097e"	66	"∂L*M"	500	5100	0	0	0
"srv_100"	"srv_097e"	66	"Adp"	500	5100	0	0	0
"srv_100"	"srv_097e"	66	"DL*M+"	500	5100	0	0	0
"srv_100"	"srv_097e"	66	"DL*M"	500	5100	0	0	0
"srv_100"	"srv_098f"	30	"∂L*M"	500	5100	0	0	0
"srv_100"	"srv_098f"	30	"Adp"	500	5100	0	0	0
"srv_100"	"srv_098f"	30	"DL*M+"	500	5100	0	0	0
"srv_100"	"srv_098f"	30	"DL*M"	500	5100	0	0	0
