"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"TQ_Symbols"	"sd"	"se"	"ci"
"srv_100"	"srv_098f"	2	"DL*M"	500	34207.36	126.286051222876	5.64768390288744	11.096170555011
"srv_100"	"srv_098l"	0	"∂L*M"	500	31791.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_100"	"srv_098l"	0	"Adp"	500	31844	0	0	0
"srv_100"	"srv_098l"	0	"DL*M+"	500	32203.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_100"	"srv_098l"	0	"DL*M"	500	32203.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_100"	"srv_098m"	0	"∂L*M"	500	31791.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_100"	"srv_098m"	0	"Adp"	500	31844	0	0	0
"srv_100"	"srv_098m"	0	"DL*M+"	500	31857.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_100"	"srv_098m"	0	"DL*M"	500	31857.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_100f"	"null"	0	"L*M"	73	31448	0	0	0
"srv_100f"	"srv_097"	9	"∂L*M"	500	31263.06	268.025475862693	11.9864636746142	23.5501574755208
"srv_100f"	"srv_097"	9	"Adp"	500	31772	0	0	0
"srv_100f"	"srv_097"	9	"DL*M+"	500	35971.228	827.488132382857	37.0063942916483	72.7075505192804
"srv_100f"	"srv_097"	9	"DL*M"	500	36432.432	1090.63776518406	48.7748036356004	95.8292902425174
"srv_100f"	"srv_097c"	8	"∂L*M"	500	31595.304	104.616005473361	4.67856999545853	9.19212397787051
"srv_100f"	"srv_097c"	8	"Adp"	500	31772	0	0	0
"srv_100f"	"srv_097c"	8	"DL*M+"	500	33921.4	225.68235431708	10.0928217115037	19.82966345459
"srv_100f"	"srv_097c"	8	"DL*M"	500	33821.44	130.238821790597	5.8244571766651	11.4434822015431
"srv_100f"	"srv_097e"	7	"∂L*M"	500	31593.072	101.320513762111	4.53119112574564	8.90256438093506
"srv_100f"	"srv_097e"	7	"Adp"	500	31772	0	0	0
"srv_100f"	"srv_097e"	7	"DL*M+"	500	33920.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_100f"	"srv_097e"	7	"DL*M"	500	33819.646	127.66125283323	5.7091847885578	11.2170031526593
"srv_100f"	"srv_098f"	4	"∂L*M"	500	31602.568	101.612950747033	4.54426930529409	8.92825946467451
"srv_100f"	"srv_098f"	4	"Adp"	500	31772	0	0	0
"srv_100f"	"srv_098f"	4	"DL*M+"	500	33907.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_100f"	"srv_098f"	4	"DL*M"	500	33811.36	126.286051222876	5.64768390288744	11.096170555011
"srv_100f"	"srv_098l"	2	"∂L*M"	500	31395.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_100f"	"srv_098l"	2	"Adp"	500	31448	0	0	0
"srv_100f"	"srv_098l"	2	"DL*M+"	500	31807.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_100f"	"srv_098l"	2	"DL*M"	500	31807.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_100f"	"srv_098m"	1	"∂L*M"	500	31395.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_100f"	"srv_098m"	1	"Adp"	500	31448	0	0	0
"srv_100f"	"srv_098m"	1	"DL*M+"	500	31461.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_100f"	"srv_098m"	1	"DL*M"	500	31461.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_100f"	"srv_098s"	0	"∂L*M"	500	31392.812	20.7844326668438	0.929508086336601	1.82623185638624
"srv_100f"	"srv_098s"	0	"Adp"	500	31448	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M+"	500	31468.286	32.3353576555049	1.44608115588954	2.84115814872963
"srv_100f"	"srv_098s"	0	"DL*M"	500	31468.286	32.3353576555049	1.44608115588954	2.84115814872963
"srv_100f"	"srv_100"	1	"∂L*M"	500	31394.828	22.8827808475858	1.02334906978864	2.01060399465365
"srv_100f"	"srv_100"	1	"Adp"	500	31448	0	0	0
"srv_100f"	"srv_100"	1	"DL*M+"	500	31464.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_100f"	"srv_100"	1	"DL*M"	500	31464.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_100h"	"null"	0	"L*M"	73	38386	0	0	0
"srv_100h"	"srv_097"	9	"∂L*M"	500	39000.584	774.918400865536	34.6554044270154	68.088491634322
"srv_100h"	"srv_097"	9	"Adp"	500	38778	0	0	0
"srv_100h"	"srv_097"	9	"DL*M+"	500	42977.228	827.488132382857	37.0063942916483	72.7075505192804
"srv_100h"	"srv_097"	9	"DL*M"	500	43565.748	1334.59873222182	59.6850697586607	117.265010757991
"srv_100h"	"srv_097c"	8	"∂L*M"	500	38344.304	104.616005473361	4.67856999545853	9.19212397787051
"srv_100h"	"srv_097c"	8	"Adp"	500	38778	0	0	0
"srv_100h"	"srv_097c"	8	"DL*M+"	500	40927.4	225.68235431708	10.0928217115037	19.82966345459
"srv_100h"	"srv_097c"	8	"DL*M"	500	40570.44	130.238821790597	5.8244571766651	11.4434822015431
"srv_100h"	"srv_097e"	7	"∂L*M"	500	38342.072	101.320513762111	4.53119112574564	8.90256438093506
"srv_100h"	"srv_097e"	7	"Adp"	500	38778	0	0	0
"srv_100h"	"srv_097e"	7	"DL*M+"	500	40926.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_100h"	"srv_097e"	7	"DL*M"	500	40568.646	127.66125283323	5.7091847885578	11.2170031526593
"srv_100h"	"srv_098f"	4	"∂L*M"	500	38351.568	101.612950747033	4.54426930529409	8.92825946467451
"srv_100h"	"srv_098f"	4	"Adp"	500	38778	0	0	0
"srv_100h"	"srv_098f"	4	"DL*M+"	500	40913.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_100h"	"srv_098f"	4	"DL*M"	500	40560.36	126.286051222876	5.64768390288744	11.096170555011
"srv_100h"	"srv_098l"	2	"∂L*M"	500	38249.164	426.30094780589	19.0647579633312	37.4570903026234
