"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"TQ_Symbols_Diff"	"sd"	"se"	"ci"
"srv_100f"	"srv_098l"	2	"DL*M"	500	359.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_100f"	"srv_098m"	1	"∂L*M"	500	-52.164	23.798778702603	1.06431373920989	2.09108848465768
"srv_100f"	"srv_098m"	1	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098m"	1	"DL*M+"	500	13.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_100f"	"srv_098m"	1	"DL*M"	500	13.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_100f"	"srv_098s"	0	"∂L*M"	500	-55.188	20.7844326668438	0.929508086336601	1.82623185638624
"srv_100f"	"srv_098s"	0	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M+"	500	20.286	32.3353576555049	1.44608115588954	2.84115814872963
"srv_100f"	"srv_098s"	0	"DL*M"	500	20.286	32.3353576555049	1.44608115588954	2.84115814872963
"srv_100f"	"srv_100"	1	"∂L*M"	500	-53.172	22.8827808475858	1.02334906978864	2.01060399465365
"srv_100f"	"srv_100"	1	"Adp"	500	0	0	0	0
"srv_100f"	"srv_100"	1	"DL*M+"	500	16.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_100f"	"srv_100"	1	"DL*M"	500	16.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_100h"	"null"	0	"L*M"	73	0	0	0	0
"srv_100h"	"srv_097"	9	"∂L*M"	500	-216.962	129.248376553376	5.78016311909679	11.3564563647925
"srv_100h"	"srv_097"	9	"Adp"	500	392	0	0	0
"srv_100h"	"srv_097"	9	"DL*M+"	500	4591.228	827.488132382857	37.0063942916483	72.7075505192804
"srv_100h"	"srv_097"	9	"DL*M"	500	4399.522	613.305078860033	27.427836945538	53.8882773781166
"srv_100h"	"srv_097c"	8	"∂L*M"	500	-41.696	104.616005473361	4.67856999545853	9.19212397787051
"srv_100h"	"srv_097c"	8	"Adp"	500	392	0	0	0
"srv_100h"	"srv_097c"	8	"DL*M+"	500	2541.4	225.68235431708	10.0928217115037	19.82966345459
"srv_100h"	"srv_097c"	8	"DL*M"	500	2184.44	130.238821790597	5.8244571766651	11.4434822015431
"srv_100h"	"srv_097e"	7	"∂L*M"	500	-43.928	101.320513762111	4.53119112574564	8.90256438093506
"srv_100h"	"srv_097e"	7	"Adp"	500	392	0	0	0
"srv_100h"	"srv_097e"	7	"DL*M+"	500	2540.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_100h"	"srv_097e"	7	"DL*M"	500	2182.646	127.66125283323	5.7091847885578	11.2170031526593
"srv_100h"	"srv_098f"	4	"∂L*M"	500	-34.432	101.612950747033	4.54426930529409	8.92825946467451
"srv_100h"	"srv_098f"	4	"Adp"	500	392	0	0	0
"srv_100h"	"srv_098f"	4	"DL*M+"	500	2527.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_100h"	"srv_098f"	4	"DL*M"	500	2174.36	126.286051222876	5.64768390288744	11.096170555011
"srv_100h"	"srv_098l"	2	"∂L*M"	500	-232.652	39.681332036922	1.77460311744595	3.48661490218444
"srv_100h"	"srv_098l"	2	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098l"	2	"DL*M+"	500	347.998	46.5215919012457	2.08050883825378	4.08763686272686
"srv_100h"	"srv_098l"	2	"DL*M"	500	164.122	31.8946649976234	1.42637278108538	2.80243652550329
"srv_100h"	"srv_098m"	2	"∂L*M"	500	-241.164	23.798778702603	1.06431373920989	2.09108848465768
"srv_100h"	"srv_098m"	2	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098m"	2	"DL*M+"	500	13.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_100h"	"srv_098m"	2	"DL*M"	500	-175.672	27.3100731634389	1.22134360127884	2.39960966992729
"srv_100h"	"srv_098s"	0	"∂L*M"	500	-240.664	29.4390288024871	1.31655339187871	2.58667114382863
