"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"TQ_Resets"	"sd"	"se"	"ci"
"srv_098za"	"srv_097"	11	"∂L*M"	500	4459.77	42.5011740967141	1.90071028807612	3.73438136673582
"srv_098za"	"srv_097"	11	"Adp"	500	4578	0	0	0
"srv_098za"	"srv_097"	11	"DL*M+"	500	5194	98.3623418824562	4.39889765750493	8.64264351564684
"srv_098za"	"srv_097"	11	"DL*M"	500	5122.67	80.4207441658206	3.59652501511789	7.06619840262456
"srv_098za"	"srv_097c"	10	"∂L*M"	500	4497.012	21.2017661002932	0.948171804866126	1.86290101272632
"srv_098za"	"srv_097c"	10	"Adp"	500	4578	0	0	0
"srv_098za"	"srv_097c"	10	"DL*M+"	500	4936.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098za"	"srv_097c"	10	"DL*M"	500	4885.71	10.5084134628884	0.469950536773848	0.92332563191002
"srv_098za"	"srv_097e"	9	"∂L*M"	500	4496.4	19.9614859628157	0.892704790895274	1.75392334014746
"srv_098za"	"srv_097e"	9	"Adp"	500	4578	0	0	0
"srv_098za"	"srv_097e"	9	"DL*M+"	500	4936.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098za"	"srv_097e"	9	"DL*M"	500	4885.836	10.5051330138784	0.469803830634188	0.923037394045592
"srv_098za"	"srv_098f"	6	"∂L*M"	500	4498.984	20.6186809473355	0.922095444092439	1.81166802030426
"srv_098za"	"srv_098f"	6	"Adp"	500	4578	0	0	0
"srv_098za"	"srv_098f"	6	"DL*M+"	500	4934.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098za"	"srv_098f"	6	"DL*M"	500	4885.29	10.5084134628884	0.469950536773848	0.92332563191002
"srv_098za"	"srv_098l"	4	"∂L*M"	500	4469.184	15.9464957106852	0.713148968240019	1.40114473805371
"srv_098za"	"srv_098l"	4	"Adp"	500	4523	0	0	0
"srv_098za"	"srv_098l"	4	"DL*M+"	500	4667.256	11.2774476567751	0.504342791464898	0.990897105523859
"srv_098za"	"srv_098l"	4	"DL*M"	500	4641.768	5.06334384589903	0.226439620657709	0.444892577990304
"srv_098za"	"srv_098m"	4	"∂L*M"	500	4471.816	10.5772349789347	0.47302832853773	0.929372659847858
"srv_098za"	"srv_098m"	4	"Adp"	500	4523	0	0	0
"srv_098za"	"srv_098m"	4	"DL*M+"	500	4621	0	0	0
"srv_098za"	"srv_098m"	4	"DL*M"	500	4594	0	0	0
"srv_098za"	"srv_098s"	2	"∂L*M"	500	4469.438	11.8385158239463	0.529434522701019	1.04019556735423
"srv_098za"	"srv_098s"	2	"Adp"	500	4523	0	0	0
"srv_098za"	"srv_098s"	2	"DL*M+"	500	4619.922	7.19468156944917	0.321755941315064	0.632163354626617
"srv_098za"	"srv_098s"	2	"DL*M"	500	4593.516	3.23026519444657	0.144461851202682	0.283828444934399
"srv_098za"	"srv_098u"	2	"∂L*M"	500	4460.472	38.1508609651836	1.70615837036588	3.35213949593749
"srv_098za"	"srv_098u"	2	"Adp"	500	4523	0	0	0
"srv_098za"	"srv_098u"	2	"DL*M+"	500	4670	0	0	0
"srv_098za"	"srv_098u"	2	"DL*M"	500	4670	0	0	0
"srv_098za"	"srv_100"	4	"∂L*M"	500	4471.368	10.1701248211492	0.454821808794951	0.893601775401623
"srv_098za"	"srv_100"	4	"Adp"	500	4523	0	0	0
"srv_098za"	"srv_100"	4	"DL*M+"	500	4621	0	0	0
"srv_098za"	"srv_100"	4	"DL*M"	500	4594	0	0	0
"srv_098za"	"srv_100f"	2	"∂L*M"	500	4469.924	12.0046009883619	0.536862077054768	1.0547887016962
"srv_098za"	"srv_100f"	2	"Adp"	500	4523	0	0	0
"srv_098za"	"srv_100f"	2	"DL*M+"	500	4620.02	6.86687030718007	0.30709577599059	0.603360096936883
"srv_098za"	"srv_100f"	2	"DL*M"	500	4593.56	3.0830846277135	0.13787973615904	0.270896370053294
"srv_098za"	"srv_100h"	2	"∂L*M"	500	4461.656	39.5037562456411	1.76666168663671	3.47101213966702
"srv_098za"	"srv_100h"	2	"Adp"	500	4523	0	0	0
"srv_098za"	"srv_100h"	2	"DL*M+"	500	4670	0	0	0
"srv_098za"	"srv_100h"	2	"DL*M"	500	4670	0	0	0
"srv_098za"	"srv_100m"	0	"∂L*M"	500	4460.594	39.1975261478607	1.75296666032884	3.4441051189696
"srv_098za"	"srv_100m"	0	"Adp"	500	4523	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M+"	500	4523	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M"	500	4523	0	0	0
"srv_098za"	"srv_101"	2	"∂L*M"	500	4461.398	39.1653858770957	1.75152930372392	3.44128110220259
"srv_098za"	"srv_101"	2	"Adp"	500	4523	0	0	0
"srv_098za"	"srv_101"	2	"DL*M+"	500	4768	0	0	0
"srv_098za"	"srv_101"	2	"DL*M"	500	4768	0	0	0
"srv_098za"	"srv_101h"	0	"∂L*M"	500	4464.194	38.4534224145365	1.71968932972836	3.37872416948522
"srv_098za"	"srv_101h"	0	"Adp"	500	4523	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M+"	500	4523	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M"	500	4523	0	0	0
"srv_100"	"null"	0	"L*M"	73	5597	0	0	0
"srv_100"	"srv_097"	7	"∂L*M"	500	5723.718	125.007152003812	5.59048979108346	10.9837996025583
"srv_100"	"srv_097"	7	"Adp"	500	5658	0	0	0
"srv_100"	"srv_097"	7	"DL*M+"	500	6204.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_100"	"srv_097"	7	"DL*M"	500	6321.772	179.078413473944	8.00863011661104	15.7347909716549
"srv_100"	"srv_097c"	6	"∂L*M"	500	5620.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_100"	"srv_097c"	6	"Adp"	500	5658	0	0	0
"srv_100"	"srv_097c"	6	"DL*M+"	500	5906.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100"	"srv_097c"	6	"DL*M"	500	5892.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100"	"srv_097e"	5	"∂L*M"	500	5620.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_100"	"srv_097e"	5	"Adp"	500	5658	0	0	0
"srv_100"	"srv_097e"	5	"DL*M+"	500	5906.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_100"	"srv_097e"	5	"DL*M"	500	5892.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_100"	"srv_098f"	2	"∂L*M"	500	5622.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_100"	"srv_098f"	2	"Adp"	500	5658	0	0	0
"srv_100"	"srv_098f"	2	"DL*M+"	500	5904.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100"	"srv_098f"	2	"DL*M"	500	5891.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100"	"srv_098l"	0	"∂L*M"	500	5579.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100"	"srv_098l"	0	"Adp"	500	5597	0	0	0
"srv_100"	"srv_098l"	0	"DL*M+"	500	5646	0	0	0
"srv_100"	"srv_098l"	0	"DL*M"	500	5646	0	0	0
"srv_100"	"srv_098m"	0	"∂L*M"	500	5579.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100"	"srv_098m"	0	"Adp"	500	5597	0	0	0
"srv_100"	"srv_098m"	0	"DL*M+"	500	5597	0	0	0
"srv_100"	"srv_098m"	0	"DL*M"	500	5597	0	0	0
"srv_100f"	"null"	0	"L*M"	73	5522	0	0	0
"srv_100f"	"srv_097"	9	"∂L*M"	500	5480.224	53.1797140644433	2.37826911344194	4.67265522685761
"srv_100f"	"srv_097"	9	"Adp"	500	5583	0	0	0
"srv_100f"	"srv_097"	9	"DL*M+"	500	6129.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_100f"	"srv_097"	9	"DL*M"	500	6230.75	174.614982989917	7.8090194371085	15.3426100028812
"srv_100f"	"srv_097c"	8	"∂L*M"	500	5545.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_100f"	"srv_097c"	8	"Adp"	500	5583	0	0	0
"srv_100f"	"srv_097c"	8	"DL*M+"	500	5831.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100f"	"srv_097c"	8	"DL*M"	500	5817.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100f"	"srv_097e"	7	"∂L*M"	500	5545.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_100f"	"srv_097e"	7	"Adp"	500	5583	0	0	0
"srv_100f"	"srv_097e"	7	"DL*M+"	500	5831.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_100f"	"srv_097e"	7	"DL*M"	500	5817.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_100f"	"srv_098f"	4	"∂L*M"	500	5547.252	16.3736583993547	0.732252264426348	1.43867754553574
