"SUL"	"Reuse"	"DeltaD"	"Method"	"N"	"MQ_Resets"	"sd"	"se"	"ci"
"srv_100m"	"srv_097c"	3901	"Adp"	500	503	0	0	0
"srv_100m"	"srv_097c"	3901	"DL*M+"	500	861.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100m"	"srv_097c"	3901	"DL*M"	500	809.71	10.5084134628884	0.469950536773848	0.92332563191002
"srv_100m"	"srv_097e"	3510	"∂L*M"	500	421.4	19.9614859628157	0.892704790895274	1.75392334014746
"srv_100m"	"srv_097e"	3510	"Adp"	500	503	0	0	0
"srv_100m"	"srv_097e"	3510	"DL*M+"	500	861.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_100m"	"srv_097e"	3510	"DL*M"	500	809.836	10.5051330138784	0.469803830634188	0.923037394045592
"srv_100m"	"srv_098f"	2429	"∂L*M"	500	423.984	20.6186809473355	0.922095444092439	1.81166802030426
"srv_100m"	"srv_098f"	2429	"Adp"	500	503	0	0	0
"srv_100m"	"srv_098f"	2429	"DL*M+"	500	859.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100m"	"srv_098f"	2429	"DL*M"	500	809.29	10.5084134628884	0.469950536773848	0.92332563191002
"srv_100m"	"srv_098l"	1673	"∂L*M"	500	394.072	16.2954564158111	0.728754965402774	1.43180629935505
"srv_100m"	"srv_098l"	1673	"Adp"	500	448	0	0	0
"srv_100m"	"srv_098l"	1673	"DL*M+"	500	592.256	11.2774476567751	0.504342791464898	0.990897105523859
"srv_100m"	"srv_098l"	1673	"DL*M"	500	565.824	4.83319185290362	0.216146910627813	0.424670188081654
"srv_100m"	"srv_098m"	1561	"∂L*M"	500	396.816	10.5772349789347	0.47302832853773	0.929372659847858
"srv_100m"	"srv_098m"	1561	"Adp"	500	448	0	0	0
"srv_100m"	"srv_098m"	1561	"DL*M+"	500	546	0	0	0
"srv_100m"	"srv_098m"	1561	"DL*M"	500	518	0	0	0
"srv_100m"	"srv_098s"	883	"∂L*M"	500	394.394	12.0248058575523	0.537765666274491	1.05656400999357
"srv_100m"	"srv_098s"	883	"Adp"	500	448	0	0	0
"srv_100m"	"srv_098s"	883	"DL*M+"	500	544.922	7.19468156944917	0.321755941315064	0.632163354626617
"srv_100m"	"srv_098s"	883	"DL*M"	500	517.538	3.08343495833536	0.137895403420742	0.270927151982836
"srv_100m"	"srv_098u"	815	"∂L*M"	500	384.496	39.1357790570829	1.750205246481	3.43867968802207
"srv_100m"	"srv_098u"	815	"Adp"	500	448	0	0	0
"srv_100m"	"srv_098u"	815	"DL*M+"	500	595	0	0	0
"srv_100m"	"srv_098u"	815	"DL*M"	500	595	0	0	0
"srv_100m"	"srv_098za"	0	"∂L*M"	500	385.658	40.0278589858361	1.79010027372211	3.51706262059693
"srv_100m"	"srv_098za"	0	"Adp"	500	448	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M+"	500	448	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M"	500	448	0	0	0
"srv_100m"	"srv_100"	1529	"∂L*M"	500	396.368	10.1701248211492	0.454821808794951	0.893601775401623
"srv_100m"	"srv_100"	1529	"Adp"	500	448	0	0	0
"srv_100m"	"srv_100"	1529	"DL*M+"	500	546	0	0	0
"srv_100m"	"srv_100"	1529	"DL*M"	500	518	0	0	0
"srv_100m"	"srv_100f"	883	"∂L*M"	500	394.884	12.1733695356587	0.544409635939158	1.06961761246657
"srv_100m"	"srv_100f"	883	"Adp"	500	448	0	0	0
"srv_100m"	"srv_100f"	883	"DL*M+"	500	545.02	6.86687030718007	0.30709577599059	0.603360096936883
"srv_100m"	"srv_100f"	883	"DL*M"	500	517.58	2.94294441736289	0.131612475424538	0.258582898687236
"srv_100m"	"srv_100h"	815	"∂L*M"	500	385.672	40.4801395674323	1.81032687622915	3.55680242102234
"srv_100m"	"srv_100h"	815	"Adp"	500	448	0	0	0
"srv_100m"	"srv_100h"	815	"DL*M+"	500	595	0	0	0
"srv_100m"	"srv_100h"	815	"DL*M"	500	595	0	0	0
"srv_100m"	"srv_101"	813	"∂L*M"	500	385.406	40.1414478522056	1.79518012225589	3.52704314831303
"srv_100m"	"srv_101"	813	"Adp"	500	448	0	0	0
"srv_100m"	"srv_101"	813	"DL*M+"	500	693	0	0	0
"srv_100m"	"srv_101"	813	"DL*M"	500	693	0	0	0
"srv_100m"	"srv_101h"	0	"∂L*M"	500	388.29	39.4271848578062	1.7632373100701	3.4642841663808
"srv_100m"	"srv_101h"	0	"Adp"	500	448	0	0	0
"srv_100m"	"srv_101h"	0	"DL*M+"	500	448	0	0	0
"srv_100m"	"srv_101h"	0	"DL*M"	500	448	0	0	0
"srv_101"	"null"	0	"L*M"	73	693	0	0	0
"srv_101"	"srv_097"	3362	"∂L*M"	500	606.518	19.8288689563519	0.886773978066764	1.74227089787084
"srv_101"	"srv_097"	3362	"Adp"	500	778	0	0	0
"srv_101"	"srv_097"	3362	"DL*M+"	500	1324.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_101"	"srv_097"	3362	"DL*M"	500	1238.788	79.353418237477	3.5487927485194	6.97241741554005
"srv_101"	"srv_097c"	3088	"∂L*M"	500	632.902	16.9673857845197	0.758804560292993	1.49084562162313
"srv_101"	"srv_097c"	3088	"Adp"	500	778	0	0	0
"srv_101"	"srv_097c"	3088	"DL*M+"	500	1025.61	27.9642969482091	1.25060137838371	2.45709328452019
"srv_101"	"srv_097c"	3088	"DL*M"	500	904.056	14.2363693554519	0.636669792631706	1.25088385393755
"srv_101"	"srv_097e"	2697	"∂L*M"	500	632.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_101"	"srv_097e"	2697	"Adp"	500	778	0	0	0
"srv_101"	"srv_097e"	2697	"DL*M+"	500	1026.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_101"	"srv_097e"	2697	"DL*M"	500	904.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_101"	"srv_098f"	1616	"∂L*M"	500	634.36	16.5196912925394	0.738783053948589	1.45150877965644
"srv_101"	"srv_098f"	1616	"Adp"	500	778	0	0	0
"srv_101"	"srv_098f"	1616	"DL*M+"	500	1024.73	27.9538895304349	1.25013594451144	2.45617883291179
"srv_101"	"srv_098f"	1616	"DL*M"	500	903.608	14.231071033676	0.636432844478553	1.25041831493691
"srv_101"	"srv_098l"	860	"∂L*M"	500	592.844	8.92473898396271	0.39912646099166	0.784175488631216
"srv_101"	"srv_098l"	860	"Adp"	500	693	0	0	0
"srv_101"	"srv_098l"	860	"DL*M+"	500	739.06	11.6485095849685	0.520937185370947	1.0235005989567
"srv_101"	"srv_098l"	860	"DL*M"	500	656.32	6.65629119141055	0.297678391640541	0.584857485118115
"srv_101"	"srv_098m"	748	"∂L*M"	500	591.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_101"	"srv_098m"	748	"Adp"	500	693	0	0	0
"srv_101"	"srv_098m"	748	"DL*M+"	500	693	0	0	0
"srv_101"	"srv_098m"	748	"DL*M"	500	609	0	0	0
"srv_101"	"srv_098s"	70	"∂L*M"	500	591.088	7.47717006254964	0.334389210783747	0.656984310456005
"srv_101"	"srv_098s"	70	"Adp"	500	693	0	0	0
"srv_101"	"srv_098s"	70	"DL*M+"	500	693	0	0	0
"srv_101"	"srv_098s"	70	"DL*M"	500	610.71	9.73320968342319	0.435282369827869	0.855212065379587
"srv_101"	"srv_098u"	2	"∂L*M"	500	606.212	17.90117202643	0.800564750560303	1.57289309481455
"srv_101"	"srv_098u"	2	"Adp"	500	693	0	0	0
"srv_101"	"srv_098u"	2	"DL*M+"	500	693	0	0	0
"srv_101"	"srv_098u"	2	"DL*M"	500	651	0	0	0
"srv_101"	"srv_100"	716	"∂L*M"	500	591.276	7.62759361586192	0.341116356596213	0.670201331551217
"srv_101"	"srv_100"	716	"Adp"	500	693	0	0	0
"srv_101"	"srv_100"	716	"DL*M+"	500	693	0	0	0
"srv_101"	"srv_100"	716	"DL*M"	500	609	0	0	0
"srv_101"	"srv_100f"	70	"∂L*M"	500	591.338	7.71458265696481	0.345006624780285	0.677844655791288
"srv_101"	"srv_100f"	70	"Adp"	500	693	0	0	0
"srv_101"	"srv_100f"	70	"DL*M+"	500	693	0	0	0
"srv_101"	"srv_100f"	70	"DL*M"	500	610.368	8.73253057139571	0.390530639464718	0.767287025437548
"srv_101"	"srv_100h"	2	"∂L*M"	500	607.14	19.0986364914269	0.854116989447773	1.67810875250996
"srv_101"	"srv_100h"	2	"Adp"	500	693	0	0	0
"srv_101"	"srv_100h"	2	"DL*M+"	500	693	0	0	0
"srv_101"	"srv_100h"	2	"DL*M"	500	651	0	0	0
"srv_101h"	"null"	0	"L*M"	73	448	0	0	0
"srv_101h"	"srv_097"	4175	"∂L*M"	500	383.798	43.4284383153369	1.94217880459499	3.81585577994112
"srv_101h"	"srv_097"	4175	"Adp"	500	503	0	0	0
"srv_101h"	"srv_097"	4175	"DL*M+"	500	1119	98.3623418824562	4.39889765750493	8.64264351564684
"srv_101h"	"srv_097"	4175	"DL*M"	500	1044.582	72.5849324642634	3.24609686264649	6.37770191203448
"srv_101h"	"srv_097c"	3901	"∂L*M"	500	422.012	21.2017661002932	0.948171804866126	1.86290101272632
"srv_101h"	"srv_097c"	3901	"Adp"	500	503	0	0	0
"srv_101h"	"srv_097c"	3901	"DL*M+"	500	861.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_101h"	"srv_097c"	3901	"DL*M"	500	809.71	10.5084134628884	0.469950536773848	0.92332563191002
"srv_101h"	"srv_097e"	3510	"∂L*M"	500	421.4	19.9614859628157	0.892704790895274	1.75392334014746
"srv_101h"	"srv_097e"	3510	"Adp"	500	503	0	0	0
"srv_101h"	"srv_097e"	3510	"DL*M+"	500	861.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_101h"	"srv_097e"	3510	"DL*M"	500	809.836	10.5051330138784	0.469803830634188	0.923037394045592
"srv_101h"	"srv_098f"	2429	"∂L*M"	500	423.984	20.6186809473355	0.922095444092439	1.81166802030426
"srv_101h"	"srv_098f"	2429	"Adp"	500	503	0	0	0
"srv_101h"	"srv_098f"	2429	"DL*M+"	500	859.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_101h"	"srv_098f"	2429	"DL*M"	500	809.29	10.5084134628884	0.469950536773848	0.92332563191002
"srv_101h"	"srv_098l"	1673	"∂L*M"	500	394.072	16.2954564158111	0.728754965402774	1.43180629935505
"srv_101h"	"srv_098l"	1673	"Adp"	500	448	0	0	0
"srv_101h"	"srv_098l"	1673	"DL*M+"	500	592.256	11.2774476567751	0.504342791464898	0.990897105523859
"srv_101h"	"srv_098l"	1673	"DL*M"	500	565.824	4.83319185290362	0.216146910627813	0.424670188081654
"srv_101h"	"srv_098m"	1561	"∂L*M"	500	396.816	10.5772349789347	0.47302832853773	0.929372659847858
"srv_101h"	"srv_098m"	1561	"Adp"	500	448	0	0	0
"srv_101h"	"srv_098m"	1561	"DL*M+"	500	546	0	0	0
"srv_101h"	"srv_098m"	1561	"DL*M"	500	518	0	0	0
"srv_101h"	"srv_098s"	883	"∂L*M"	500	394.394	12.0248058575523	0.537765666274491	1.05656400999357
"srv_101h"	"srv_098s"	883	"Adp"	500	448	0	0	0
"srv_101h"	"srv_098s"	883	"DL*M+"	500	544.922	7.19468156944917	0.321755941315064	0.632163354626617
"srv_101h"	"srv_098s"	883	"DL*M"	500	517.538	3.08343495833536	0.137895403420742	0.270927151982836
"srv_101h"	"srv_098u"	815	"∂L*M"	500	384.496	39.1357790570829	1.750205246481	3.43867968802207
"srv_101h"	"srv_098u"	815	"Adp"	500	448	0	0	0
"srv_101h"	"srv_098u"	815	"DL*M+"	500	595	0	0	0
"srv_101h"	"srv_098u"	815	"DL*M"	500	595	0	0	0
"srv_101h"	"srv_098za"	0	"∂L*M"	500	385.658	40.0278589858361	1.79010027372211	3.51706262059693
"srv_101h"	"srv_098za"	0	"Adp"	500	448	0	0	0
"srv_101h"	"srv_098za"	0	"DL*M+"	500	448	0	0	0
"srv_101h"	"srv_098za"	0	"DL*M"	500	448	0	0	0
"srv_101h"	"srv_100"	1529	"∂L*M"	500	396.368	10.1701248211492	0.454821808794951	0.893601775401623
"srv_101h"	"srv_100"	1529	"Adp"	500	448	0	0	0
"srv_101h"	"srv_100"	1529	"DL*M+"	500	546	0	0	0
"srv_101h"	"srv_100"	1529	"DL*M"	500	518	0	0	0
"srv_101h"	"srv_100f"	883	"∂L*M"	500	394.884	12.1733695356587	0.544409635939158	1.06961761246657
"srv_101h"	"srv_100f"	883	"Adp"	500	448	0	0	0
"srv_101h"	"srv_100f"	883	"DL*M+"	500	545.02	6.86687030718007	0.30709577599059	0.603360096936883
"srv_101h"	"srv_100f"	883	"DL*M"	500	517.58	2.94294441736289	0.131612475424538	0.258582898687236
"srv_101h"	"srv_100h"	815	"∂L*M"	500	385.672	40.4801395674323	1.81032687622915	3.55680242102234
"srv_101h"	"srv_100h"	815	"Adp"	500	448	0	0	0
"srv_101h"	"srv_100h"	815	"DL*M+"	500	595	0	0	0
"srv_101h"	"srv_100h"	815	"DL*M"	500	595	0	0	0
"srv_101h"	"srv_100m"	0	"∂L*M"	500	384.566	40.1704989011081	1.79647932465917	3.52959572945958
"srv_101h"	"srv_100m"	0	"Adp"	500	448	0	0	0
"srv_101h"	"srv_100m"	0	"DL*M+"	500	448	0	0	0
"srv_101h"	"srv_100m"	0	"DL*M"	500	448	0	0	0
"srv_101h"	"srv_101"	813	"∂L*M"	500	385.406	40.1414478522056	1.79518012225589	3.52704314831303
"srv_101h"	"srv_101"	813	"Adp"	500	448	0	0	0
"srv_101h"	"srv_101"	813	"DL*M+"	500	693	0	0	0
"srv_101h"	"srv_101"	813	"DL*M"	500	693	0	0	0
"srv_101k"	"null"	0	"L*M"	73	399	0	0	0
"srv_101k"	"srv_097"	4392	"∂L*M"	500	350.624	36.9918290279037	1.65432488636885	3.25030072649125
"srv_101k"	"srv_097"	4392	"Adp"	500	448	0	0	0
"srv_101k"	"srv_097"	4392	"DL*M+"	500	1078.19	82.550245220544	3.69175919744827	7.25330779967573
"srv_101k"	"srv_097"	4392	"DL*M"	500	1026.57	64.4182934659568	2.8808736636882	5.66013715877058
"srv_101k"	"srv_097c"	4118	"∂L*M"	500	384.352	11.370429602204	0.508501070478081	0.999066998516988
"srv_101k"	"srv_097c"	4118	"Adp"	500	448	0	0	0
"srv_101k"	"srv_097c"	4118	"DL*M+"	500	833	0	0	0
"srv_101k"	"srv_097c"	4118	"DL*M"	500	799	0	0	0
"srv_101k"	"srv_097e"	3727	"∂L*M"	500	383.944	10.8985513184865	0.487398032088115	0.957605238753079
"srv_101k"	"srv_097e"	3727	"Adp"	500	448	0	0	0
"srv_101k"	"srv_097e"	3727	"DL*M+"	500	833	0	0	0
"srv_101k"	"srv_097e"	3727	"DL*M"	500	799	0	0	0
"srv_101k"	"srv_098f"	2646	"∂L*M"	500	385.644	12.6634113877719	0.56632497380206	1.11267532087924
"srv_101k"	"srv_098f"	2646	"Adp"	500	448	0	0	0
"srv_101k"	"srv_098f"	2646	"DL*M+"	500	833	0	0	0
"srv_101k"	"srv_098f"	2646	"DL*M"	500	799	0	0	0
"srv_101k"	"srv_098l"	1890	"∂L*M"	500	346.248	12.9822792740836	0.580585179194751	1.14069276553578
"srv_101k"	"srv_098l"	1890	"Adp"	500	399	0	0	0
"srv_101k"	"srv_098l"	1890	"DL*M+"	500	592.256	11.2774476567751	0.504342791464898	0.990897105523859
"srv_101k"	"srv_098l"	1890	"DL*M"	500	565.824	4.83319185290362	0.216146910627813	0.424670188081654
"srv_101k"	"srv_098m"	1778	"∂L*M"	500	347.816	10.5772349789347	0.47302832853773	0.929372659847858
"srv_101k"	"srv_098m"	1778	"Adp"	500	399	0	0	0
"srv_101k"	"srv_098m"	1778	"DL*M+"	500	546	0	0	0
"srv_101k"	"srv_098m"	1778	"DL*M"	500	518	0	0	0
"srv_101k"	"srv_098s"	1100	"∂L*M"	500	345.856	10.3208674349213	0.461563223424957	0.90684683086203
"srv_101k"	"srv_098s"	1100	"Adp"	500	399	0	0	0
"srv_101k"	"srv_098s"	1100	"DL*M+"	500	544.922	7.19468156944917	0.321755941315064	0.632163354626617
"srv_101k"	"srv_098s"	1100	"DL*M"	500	517.538	3.08343495833536	0.137895403420742	0.270927151982836
"srv_101k"	"srv_098u"	1032	"∂L*M"	500	345.744	28.8484128827168	1.29014024497471	2.53477645779787
"srv_101k"	"srv_098u"	1032	"Adp"	500	399	0	0	0
"srv_101k"	"srv_098u"	1032	"DL*M+"	500	595	0	0	0
"srv_101k"	"srv_098u"	1032	"DL*M"	500	595	0	0	0
"srv_101k"	"srv_098za"	217	"∂L*M"	500	346.864	29.8265779717857	1.33388511762221	2.62072329479343
"srv_101k"	"srv_098za"	217	"Adp"	500	399	0	0	0
"srv_101k"	"srv_098za"	217	"DL*M+"	500	448	0	0	0
"srv_101k"	"srv_098za"	217	"DL*M"	500	448	0	0	0
"srv_101k"	"srv_100"	1746	"∂L*M"	500	347.368	10.1701248211492	0.454821808794951	0.893601775401623
"srv_101k"	"srv_100"	1746	"Adp"	500	399	0	0	0
"srv_101k"	"srv_100"	1746	"DL*M+"	500	546	0	0	0
"srv_101k"	"srv_100"	1746	"DL*M"	500	518	0	0	0
"srv_101k"	"srv_100f"	1100	"∂L*M"	500	346.304	10.6387004796541	0.475777149295322	0.934773348780856
"srv_101k"	"srv_100f"	1100	"Adp"	500	399	0	0	0
"srv_101k"	"srv_100f"	1100	"DL*M+"	500	545.02	6.86687030718007	0.30709577599059	0.603360096936883
"srv_101k"	"srv_100f"	1100	"DL*M"	500	517.58	2.94294441736289	0.131612475424538	0.258582898687236
"srv_101k"	"srv_100h"	1032	"∂L*M"	500	347.004	30.3079052764207	1.35541072907402	2.66301529627179
"srv_101k"	"srv_100h"	1032	"Adp"	500	399	0	0	0
"srv_101k"	"srv_100h"	1032	"DL*M+"	500	595	0	0	0
"srv_101k"	"srv_100h"	1032	"DL*M"	500	595	0	0	0
"srv_101k"	"srv_100m"	217	"∂L*M"	500	346.36	30.0449629655155	1.34365159144713	2.63991177296355
"srv_101k"	"srv_100m"	217	"Adp"	500	399	0	0	0
"srv_101k"	"srv_100m"	217	"DL*M+"	500	448	0	0	0
"srv_101k"	"srv_100m"	217	"DL*M"	500	448	0	0	0
"srv_101k"	"srv_101"	1030	"∂L*M"	500	346.822	29.9748444299081	1.34051579520511	2.63375078192271
"srv_101k"	"srv_101"	1030	"Adp"	500	399	0	0	0
"srv_101k"	"srv_101"	1030	"DL*M+"	500	693	0	0	0
"srv_101k"	"srv_101"	1030	"DL*M"	500	693	0	0	0
"srv_101k"	"srv_101h"	217	"∂L*M"	500	348.782	29.2786775301726	1.30938226497523	2.57258182003486
"srv_101k"	"srv_101h"	217	"Adp"	500	399	0	0	0
"srv_101k"	"srv_101h"	217	"DL*M+"	500	448	0	0	0
"srv_101k"	"srv_101h"	217	"DL*M"	500	448	0	0	0
"srv_102"	"null"	0	"L*M"	73	350	0	0	0
"srv_102"	"srv_097"	4406	"∂L*M"	500	337.17	34.7020108800374	1.55192110567402	3.04910500881186
"srv_102"	"srv_097"	4406	"Adp"	500	393	0	0	0
"srv_102"	"srv_097"	4406	"DL*M+"	500	1023.19	82.550245220544	3.69175919744827	7.25330779967573
"srv_102"	"srv_097"	4406	"DL*M"	500	1003.14	61.91703997834	2.76901420714281	5.44036359683595
"srv_102"	"srv_097c"	4132	"∂L*M"	500	368.584	9.36388320181507	0.418765587452538	0.822761057602226
"srv_102"	"srv_097c"	4132	"Adp"	500	393	0	0	0
"srv_102"	"srv_097c"	4132	"DL*M+"	500	778	0	0	0
"srv_102"	"srv_097c"	4132	"DL*M"	500	778	0	0	0
"srv_102"	"srv_097e"	3741	"∂L*M"	500	368.248	8.97527755640063	0.4013866146608	0.788616078973124
"srv_102"	"srv_097e"	3741	"Adp"	500	393	0	0	0
"srv_102"	"srv_097e"	3741	"DL*M+"	500	778	0	0	0
"srv_102"	"srv_097e"	3741	"DL*M"	500	778	0	0	0
"srv_102"	"srv_098f"	2660	"∂L*M"	500	369.648	10.4286917311063	0.466385272542873	0.916320852488786
"srv_102"	"srv_098f"	2660	"Adp"	500	393	0	0	0
"srv_102"	"srv_098f"	2660	"DL*M+"	500	778	0	0	0
"srv_102"	"srv_098f"	2660	"DL*M"	500	778	0	0	0
"srv_102"	"srv_098l"	1904	"∂L*M"	500	332.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_102"	"srv_098l"	1904	"Adp"	500	350	0	0	0
"srv_102"	"srv_098l"	1904	"DL*M+"	500	546	0	0	0
"srv_102"	"srv_098l"	1904	"DL*M"	500	546	0	0	0
"srv_102"	"srv_098m"	1792	"∂L*M"	500	332.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_102"	"srv_098m"	1792	"Adp"	500	350	0	0	0
"srv_102"	"srv_098m"	1792	"DL*M+"	500	497	0	0	0
"srv_102"	"srv_098m"	1792	"DL*M"	500	497	0	0	0
"srv_102"	"srv_098s"	1114	"∂L*M"	500	331.604	6.92814422228128	0.309836028778867	0.608743952128747
"srv_102"	"srv_098s"	1114	"Adp"	500	350	0	0	0
"srv_102"	"srv_098s"	1114	"DL*M+"	500	497	0	0	0
"srv_102"	"srv_098s"	1114	"DL*M"	500	497	0	0	0
"srv_102"	"srv_098u"	1046	"∂L*M"	500	306.496	24.9655872170109	1.11649500230873	2.19361054592682
"srv_102"	"srv_098u"	1046	"Adp"	500	350	0	0	0
"srv_102"	"srv_098u"	1046	"DL*M+"	500	670.264	73.5524181821433	3.28936413929528	6.46271040213435
"srv_102"	"srv_098u"	1046	"DL*M"	500	658.216	61.7877398323257	2.76323172882304	5.42900259172834
"srv_102"	"srv_098za"	231	"∂L*M"	500	307.408	24.7890000816915	1.1085977855382	2.17809465203077
"srv_102"	"srv_098za"	231	"Adp"	500	350	0	0	0
"srv_102"	"srv_098za"	231	"DL*M+"	500	523.558	73.5447639237574	3.28902183045391	6.46203785789293
"srv_102"	"srv_098za"	231	"DL*M"	500	512.212	62.5051745833847	2.79531638627881	5.49204026123146
"srv_102"	"srv_100"	1760	"∂L*M"	500	332.276	7.62759361586192	0.341116356596213	0.670201331551217
"srv_102"	"srv_100"	1760	"Adp"	500	350	0	0	0
"srv_102"	"srv_100"	1760	"DL*M+"	500	497	0	0	0
"srv_102"	"srv_100"	1760	"DL*M"	500	497	0	0	0
"srv_102"	"srv_100f"	1114	"∂L*M"	500	331.898	7.25015347774803	0.324236720471022	0.637037414346876
"srv_102"	"srv_100f"	1114	"Adp"	500	350	0	0	0
"srv_102"	"srv_100f"	1114	"DL*M+"	500	497	0	0	0
"srv_102"	"srv_100f"	1114	"DL*M"	500	497	0	0	0
"srv_102"	"srv_100h"	1046	"∂L*M"	500	308.172	24.661199596351	1.10288237408262	2.16686541516241
"srv_102"	"srv_100h"	1046	"Adp"	500	350	0	0	0
"srv_102"	"srv_100h"	1046	"DL*M+"	500	669.676	73.5641924091444	3.28989069873442	6.46374494894054
"srv_102"	"srv_100h"	1046	"DL*M"	500	657.756	61.8293960218345	2.76509465025154	5.43266272821203
"srv_102"	"srv_100m"	231	"∂L*M"	500	309.816	25.2124866478087	1.12753668052612	2.21530445564637
"srv_102"	"srv_100m"	231	"Adp"	500	350	0	0	0
"srv_102"	"srv_100m"	231	"DL*M+"	500	519.442	73.5447639237574	3.28902183045391	6.46203785789293
"srv_102"	"srv_100m"	231	"DL*M"	500	508.804	62.5974957722264	2.79944511535908	5.50015209660291
"srv_102"	"srv_101"	1044	"∂L*M"	500	308.406	24.9903621502531	1.11760297100607	2.19578740459079
"srv_102"	"srv_101"	1044	"Adp"	500	350	0	0	0
"srv_102"	"srv_101"	1044	"DL*M+"	500	767.088	73.5712560408674	3.29020659394843	6.46436559755197
"srv_102"	"srv_101"	1044	"DL*M"	500	755.324	61.8944656148471	2.76800465091643	5.43838009204613
"srv_102"	"srv_101h"	231	"∂L*M"	500	305.79	25.1124505044944	1.12306292819297	2.20651474294942
"srv_102"	"srv_101h"	231	"Adp"	500	350	0	0	0
"srv_102"	"srv_101h"	231	"DL*M+"	500	528.556	73.2337984982683	3.275115033853	6.43471476587663
"srv_102"	"srv_101h"	231	"DL*M"	500	516.464	62.2453023072315	2.78369454477988	5.46920648766113
"srv_102"	"srv_101k"	14	"∂L*M"	500	307.566	24.858187846382	1.11169195643938	2.18417386054106
"srv_102"	"srv_101k"	14	"Adp"	500	350	0	0	0
"srv_102"	"srv_101k"	14	"DL*M+"	500	475.146	73.5259192775665	3.28817907225602	6.46038206609203
"srv_102"	"srv_101k"	14	"DL*M"	500	463.708	62.4856114579873	2.79444149671399	5.4903213399896
"srv_110pre1"	"null"	0	"L*M"	73	301	0	0	0
"srv_110pre1"	"srv_097"	4728	"∂L*M"	500	276.614	35.4454194434068	1.58516734732901	3.11442487693129
"srv_110pre1"	"srv_097"	4728	"Adp"	500	338	0	0	0
"srv_110pre1"	"srv_097"	4728	"DL*M+"	500	1024.456	84.5152632572773	3.77963747559125	7.42596483557264
"srv_110pre1"	"srv_097"	4728	"DL*M"	500	988.826	47.6008761560294	2.12877589746861	4.18246857258277
"srv_110pre1"	"srv_097c"	4454	"∂L*M"	500	308.352	11.370429602204	0.508501070478081	0.999066998516988
"srv_110pre1"	"srv_097c"	4454	"Adp"	500	338	0	0	0
"srv_110pre1"	"srv_097c"	4454	"DL*M+"	500	778	0	0	0
"srv_110pre1"	"srv_097c"	4454	"DL*M"	500	778	0	0	0
"srv_110pre1"	"srv_097e"	4063	"∂L*M"	500	307.944	10.8985513184865	0.487398032088115	0.957605238753079
"srv_110pre1"	"srv_097e"	4063	"Adp"	500	338	0	0	0
"srv_110pre1"	"srv_097e"	4063	"DL*M+"	500	778	0	0	0
"srv_110pre1"	"srv_097e"	4063	"DL*M"	500	778	0	0	0
"srv_110pre1"	"srv_098f"	2982	"∂L*M"	500	309.644	12.6634113877719	0.56632497380206	1.11267532087924
"srv_110pre1"	"srv_098f"	2982	"Adp"	500	338	0	0	0
"srv_110pre1"	"srv_098f"	2982	"DL*M+"	500	778	0	0	0
"srv_110pre1"	"srv_098f"	2982	"DL*M"	500	778	0	0	0
"srv_110pre1"	"srv_098l"	2226	"∂L*M"	500	277.816	10.5772349789347	0.47302832853773	0.929372659847858
"srv_110pre1"	"srv_098l"	2226	"Adp"	500	301	0	0	0
"srv_110pre1"	"srv_098l"	2226	"DL*M+"	500	546	0	0	0
"srv_110pre1"	"srv_098l"	2226	"DL*M"	500	546	0	0	0
"srv_110pre1"	"srv_098m"	2114	"∂L*M"	500	277.816	10.5772349789347	0.47302832853773	0.929372659847858
"srv_110pre1"	"srv_098m"	2114	"Adp"	500	301	0	0	0
"srv_110pre1"	"srv_098m"	2114	"DL*M+"	500	497	0	0	0
"srv_110pre1"	"srv_098m"	2114	"DL*M"	500	497	0	0	0
"srv_110pre1"	"srv_098s"	1436	"∂L*M"	500	276.472	9.23752562970837	0.413114705038489	0.81165860283833
"srv_110pre1"	"srv_098s"	1436	"Adp"	500	301	0	0	0
"srv_110pre1"	"srv_098s"	1436	"DL*M+"	500	497	0	0	0
"srv_110pre1"	"srv_098s"	1436	"DL*M"	500	497	0	0	0
"srv_110pre1"	"srv_098u"	1368	"∂L*M"	500	251.344	25.1136427884968	1.12311624875452	2.20661950342385
"srv_110pre1"	"srv_098u"	1368	"Adp"	500	301	0	0	0
"srv_110pre1"	"srv_098u"	1368	"DL*M+"	500	671.348	75.2512085269701	3.36533635310634	6.61197524350735
"srv_110pre1"	"srv_098u"	1368	"DL*M"	500	643.104	47.5096992945031	2.12469834426165	4.17445728395375
