"Control"	"Treatment"	"Delta"	"Measure"	"Wilcox"	"VD"	"VD.magnitude"
"∂L*M"	"DL*M"	338	"MQ_Symbols_Diff"	3.18454919112593e-170	0	"large"
"∂L*M"	"DL*M"	378	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"DL*M"	378	"EQ_Symbols_Diff"	6.86962210054376e-78	0.270448	"medium"
"∂L*M"	"DL*M"	378	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"DL*M"	283	"TQ_Symbols_Diff"	1.50541620271228e-170	0	"large"
"∂L*M"	"DL*M"	283	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"DL*M"	283	"MQ_Symbols_Diff"	1.50541620271228e-170	0	"large"
"∂L*M"	"DL*M"	128	"TQ_Symbols_Diff"	3.58194850273122e-170	0	"large"
"∂L*M"	"DL*M"	128	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"DL*M"	128	"MQ_Symbols_Diff"	3.58194850273122e-170	0	"large"
"∂L*M"	"DL*M"	20	"TQ_Symbols_Diff"	2.07709171393531e-186	0	"large"
"∂L*M"	"DL*M"	20	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"DL*M"	20	"MQ_Symbols_Diff"	2.07709171393531e-186	0	"large"
"∂L*M"	"DL*M"	4	"TQ_Symbols_Diff"	6.49725418472361e-151	0.066564	"large"
"∂L*M"	"DL*M"	4	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"DL*M"	4	"MQ_Symbols_Diff"	6.49725418472361e-151	0.066564	"large"
"∂L*M"	"DL*M"	210	"TQ_Symbols_Diff"	3.18454919112593e-170	0	"large"
"∂L*M"	"DL*M"	210	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"DL*M"	210	"MQ_Symbols_Diff"	3.18454919112593e-170	0	"large"
"∂L*M"	"DL*M"	249	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"DL*M"	249	"EQ_Symbols_Diff"	0.585725228746077	0.506895	"negligible"
"∂L*M"	"DL*M"	249	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"DL*M"	154	"TQ_Symbols_Diff"	1.50541620271228e-170	0	"large"
"∂L*M"	"DL*M"	154	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"DL*M"	154	"MQ_Symbols_Diff"	1.50541620271228e-170	0	"large"
"∂L*M"	"DL*M"	334	"TQ_Symbols_Diff"	3.18454919112593e-170	0	"large"
"∂L*M"	"DL*M"	334	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"DL*M"	334	"MQ_Symbols_Diff"	3.18454919112593e-170	0	"large"
"∂L*M"	"DL*M"	373	"TQ_Symbols_Diff"	6.27433385400902e-166	0	"large"
"∂L*M"	"DL*M"	373	"EQ_Symbols_Diff"	0.577688695748812	0.509792	"negligible"
"∂L*M"	"DL*M"	373	"MQ_Symbols_Diff"	6.27433385400902e-166	0	"large"
"∂L*M"	"DL*M"	278	"TQ_Symbols_Diff"	1.50541620271228e-170	0	"large"
"∂L*M"	"DL*M"	278	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"DL*M"	278	"MQ_Symbols_Diff"	1.50541620271228e-170	0	"large"
"∂L*M"	"DL*M"	124	"TQ_Symbols_Diff"	3.58194850273122e-170	0	"large"
"∂L*M"	"DL*M"	124	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"DL*M"	124	"MQ_Symbols_Diff"	3.58194850273122e-170	0	"large"
"∂L*M"	"DL*M"	16	"TQ_Symbols_Diff"	2.07709171393531e-186	0	"large"
"∂L*M"	"DL*M"	16	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"DL*M"	16	"MQ_Symbols_Diff"	2.07709171393531e-186	0	"large"
"∂L*M"	"DL*M"	441	"TQ_Symbols_Diff"	3.99404792029505e-170	0	"large"
"∂L*M"	"DL*M"	441	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"DL*M"	441	"MQ_Symbols_Diff"	3.99404792029505e-170	0	"large"
"∂L*M"	"DL*M"	480	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"DL*M"	480	"EQ_Symbols_Diff"	1.1878252188126e-05	0.455036	"negligible"
"∂L*M"	"DL*M"	480	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"DL*M"	385	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"DL*M"	385	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"DL*M"	385	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"DL*M"	230	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"DL*M"	230	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"DL*M"	230	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"DL*M"	122	"TQ_Symbols_Diff"	0	0.00943288888888889	"large"
"∂L*M"	"DL*M"	122	"EQ_Symbols_Diff"	1.48923079207364e-20	0.528	"negligible"
"∂L*M"	"DL*M"	122	"MQ_Symbols_Diff"	0	0.00943288888888889	"large"
"∂L*M"	"DL*M"	106	"TQ_Symbols_Diff"	1.31358088565342e-122	0.259202222222222	"large"
