"SUL"	"Reuse"	"DeltaW"	"Method"	"N"	"EQ_Symbols_Diff"	"sd"	"se"	"ci"
"srv_100h"	"srv_098l"	122	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098l"	122	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098l"	122	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_098m"	106	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_098m"	106	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098m"	106	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098m"	106	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_098s"	9	"∂L*M"	500	37.642	251.226533986276	11.2351921548995	22.0741122401253
"srv_100h"	"srv_098s"	9	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098s"	9	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098s"	9	"DL*M"	500	-0.21	1.19530645235022	0.0534557296279839	0.105026043116791
"srv_100h"	"srv_098u"	0	"∂L*M"	500	834.968	856.110119113246	38.2864084512532	75.2224319595366
"srv_100h"	"srv_098u"	0	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_100"	102	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_100"	102	"Adp"	500	0	0	0	0
"srv_100h"	"srv_100"	102	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_100"	102	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_100f"	9	"∂L*M"	500	34.22	239.7798999099	10.7232831167326	21.0683495073267
"srv_100h"	"srv_100f"	9	"Adp"	500	0	0	0	0
"srv_100h"	"srv_100f"	9	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_100f"	9	"DL*M"	500	-0.168	1.07241603508368	0.0479599030921583	0.0942282311940848
"srv_100m"	"null"	0	"L*M"	73	0	0	0	0
"srv_100m"	"srv_097"	596	"∂L*M"	500	1.944	2.00121806595258	0.0894971926654126	0.175837764840624
"srv_100m"	"srv_097"	596	"Adp"	500	0	0	0	0
"srv_100m"	"srv_097"	596	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_097"	596	"DL*M"	500	19.366	118.533220206764	5.30096675948551	10.41496519301
"srv_100m"	"srv_097c"	557	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_097c"	557	"Adp"	500	0	0	0	0
"srv_100m"	"srv_097c"	557	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_097c"	557	"DL*M"	500	5	0	0	0
"srv_100m"	"srv_097e"	501	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_097e"	501	"Adp"	500	0	0	0	0
"srv_100m"	"srv_097e"	501	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_097e"	501	"DL*M"	500	5	0	0	0
"srv_100m"	"srv_098f"	347	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_098f"	347	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098f"	347	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098f"	347	"DL*M"	500	5	0	0	0
"srv_100m"	"srv_098l"	239	"∂L*M"	500	0.224	0.920607971981642	0.0411708401195835	0.0808895596346007
"srv_100m"	"srv_098l"	239	"Adp"	500	0	0	0	0
