"SUL"	"Reuse"	"DeltaW"	"Method"	"N"	"EQ_Resets_Diff"	"sd"	"se"	"ci"
"srv_100"	"srv_097c"	338	"DL*M"	500	0	0	0	0
"srv_100"	"srv_097e"	283	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_097e"	283	"Adp"	500	0	0	0	0
"srv_100"	"srv_097e"	283	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_097e"	283	"DL*M"	500	0	0	0	0
"srv_100"	"srv_098f"	128	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_098f"	128	"Adp"	500	0	0	0	0
"srv_100"	"srv_098f"	128	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_098f"	128	"DL*M"	500	0	0	0	0
"srv_100"	"srv_098l"	20	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_098l"	20	"Adp"	500	0	0	0	0
"srv_100"	"srv_098l"	20	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_098l"	20	"DL*M"	500	0	0	0	0
"srv_100"	"srv_098m"	4	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_098m"	4	"Adp"	500	0	0	0	0
"srv_100"	"srv_098m"	4	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_098m"	4	"DL*M"	500	0	0	0	0
"srv_100f"	"null"	0	"L*M"	73	0	0	0	0
"srv_100f"	"srv_097"	470	"∂L*M"	500	-10.692	11.0066993627392	0.492234559659769	0.967107706623431
"srv_100f"	"srv_097"	470	"Adp"	500	0	0	0	0
"srv_100f"	"srv_097"	470	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_097"	470	"DL*M"	500	108.542	119.506736027355	5.34450371052576	10.5005035203127
"srv_100f"	"srv_097c"	431	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_097c"	431	"Adp"	500	0	0	0	0
"srv_100f"	"srv_097c"	431	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_097c"	431	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_097e"	375	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_097e"	375	"Adp"	500	0	0	0	0
"srv_100f"	"srv_097e"	375	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_097e"	375	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_098f"	220	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_098f"	220	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098f"	220	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_098f"	220	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_098l"	112	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_098l"	112	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098l"	112	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_098l"	112	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_098m"	96	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_098m"	96	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098m"	96	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_098m"	96	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_100"	92	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_100"	92	"Adp"	500	0	0	0	0
"srv_100f"	"srv_100"	92	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_100"	92	"DL*M"	500	0	0	0	0
"srv_100h"	"null"	0	"L*M"	73	0	0	0	0
"srv_100h"	"srv_097"	480	"∂L*M"	500	177.39	182.611148518173	8.1666188307189	16.0451960417069
"srv_100h"	"srv_097"	480	"Adp"	500	0	0	0	0
"srv_100h"	"srv_097"	480	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_097"	480	"DL*M"	500	160.246	163.581782246575	7.31559969967821	14.3731737426585
"srv_100h"	"srv_097c"	440	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_097c"	440	"Adp"	500	0	0	0	0
"srv_100h"	"srv_097c"	440	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_097c"	440	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_097e"	385	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_097e"	385	"Adp"	500	0	0	0	0
"srv_100h"	"srv_097e"	385	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_097e"	385	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_098f"	230	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_098f"	230	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098f"	230	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098f"	230	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_098l"	122	"∂L*M"	500	20.44	84.0054774433249	3.75683916091199	7.38117231665732
"srv_100h"	"srv_098l"	122	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098l"	122	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098l"	122	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_098m"	106	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_098m"	106	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098m"	106	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098m"	106	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_098s"	9	"∂L*M"	500	8.03	53.5930361805907	2.39675344040813	4.70897192732072
"srv_100h"	"srv_098s"	9	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098s"	9	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098s"	9	"DL*M"	500	-0.06	0.341516129242919	0.0152730656079954	0.0300074408905118
"srv_100h"	"srv_098u"	0	"∂L*M"	500	178.12	182.630153989676	8.16746878124338	16.0468659644833
"srv_100h"	"srv_098u"	0	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_100"	102	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_100"	102	"Adp"	500	0	0	0	0
"srv_100h"	"srv_100"	102	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_100"	102	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_100f"	9	"∂L*M"	500	7.3	51.151176777974	2.28755016809317	4.49441704861148
"srv_100h"	"srv_100f"	9	"Adp"	500	0	0	0	0
"srv_100h"	"srv_100f"	9	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_100f"	9	"DL*M"	500	-0.048	0.306404581452481	0.0137028294549024	0.0269223517697385
"srv_100m"	"null"	0	"L*M"	73	0	0	0	0
"srv_100m"	"srv_097"	596	"∂L*M"	500	0.972	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_100m"	"srv_097"	596	"Adp"	500	0	0	0	0
"srv_100m"	"srv_097"	596	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_097"	596	"DL*M"	500	3.088	29.7330180224182	1.32970098948707	2.61250261527065
"srv_100m"	"srv_097c"	557	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_097c"	557	"Adp"	500	0	0	0	0
"srv_100m"	"srv_097c"	557	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_097c"	557	"DL*M"	500	1	0	0	0
"srv_100m"	"srv_097e"	501	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_097e"	501	"Adp"	500	0	0	0	0
"srv_100m"	"srv_097e"	501	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_097e"	501	"DL*M"	500	1	0	0	0
"srv_100m"	"srv_098f"	347	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_098f"	347	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098f"	347	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098f"	347	"DL*M"	500	1	0	0	0
"srv_100m"	"srv_098l"	239	"∂L*M"	500	0.112	0.460303985990821	0.0205854200597917	0.0404447798173004
"srv_100m"	"srv_098l"	239	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098l"	239	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098l"	239	"DL*M"	500	0.944	0.230151992995411	0.0102927100298959	0.0202223899086502
"srv_100m"	"srv_098m"	223	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_098m"	223	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098m"	223	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098m"	223	"DL*M"	500	1	0	0	0
"srv_100m"	"srv_098s"	126	"∂L*M"	500	0.044	0.293660472222415	0.0131328955638802	0.0258025859031272
"srv_100m"	"srv_098s"	126	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098s"	126	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098s"	126	"DL*M"	500	0.978	0.146830236111208	0.00656644778194009	0.0129012929515636
"srv_100m"	"srv_098u"	116	"∂L*M"	500	0.976	1.00071317254617	0.0447532535958541	0.0879280326821
"srv_100m"	"srv_098u"	116	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098u"	116	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098u"	116	"DL*M"	500	0	0	0	0
"srv_100m"	"srv_098za"	0	"∂L*M"	500	0.972	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_100m"	"srv_098za"	0	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M"	500	0	0	0	0
"srv_100m"	"srv_100"	218	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_100"	218	"Adp"	500	0	0	0	0
"srv_100m"	"srv_100"	218	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_100"	218	"DL*M"	500	1	0	0	0
"srv_100m"	"srv_100f"	126	"∂L*M"	500	0.04	0.280280420701227	0.0125345214690037	0.0246269427321177
"srv_100m"	"srv_100f"	126	"Adp"	500	0	0	0	0
"srv_100m"	"srv_100f"	126	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_100f"	126	"DL*M"	500	0.98	0.140140210350614	0.00626726073450183	0.0123134713660588
"srv_100m"	"srv_100h"	116	"∂L*M"	500	0.984	1.00087336611081	0.044760417669856	0.0879421081488508
"srv_100m"	"srv_100h"	116	"Adp"	500	0	0	0	0
"srv_100m"	"srv_100h"	116	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_100h"	116	"DL*M"	500	0	0	0	0
"srv_100m"	"srv_101"	116	"∂L*M"	500	0.992	1.00096946994377	0.0447647155639242	0.0879505523476459
"srv_100m"	"srv_101"	116	"Adp"	500	0	0	0	0
"srv_100m"	"srv_101"	116	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_101"	116	"DL*M"	500	0	0	0	0
