"SUL"	"Reuse"	"DeltaD"	"Method"	"N"	"MQ_Symbols"	"sd"	"se"	"ci"
"srv_100f"	"srv_098l"	790	"DL*M"	500	2424.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_100f"	"srv_098m"	678	"∂L*M"	500	2012.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_100f"	"srv_098m"	678	"Adp"	500	2065	0	0	0
"srv_100f"	"srv_098m"	678	"DL*M+"	500	2078.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_100f"	"srv_098m"	678	"DL*M"	500	2078.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_100f"	"srv_098s"	0	"∂L*M"	500	2009.812	20.7844326668438	0.929508086336601	1.82623185638624
"srv_100f"	"srv_098s"	0	"Adp"	500	2065	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M+"	500	2085.286	32.3353576555049	1.44608115588954	2.84115814872963
"srv_100f"	"srv_098s"	0	"DL*M"	500	2085.286	32.3353576555049	1.44608115588954	2.84115814872963
"srv_100f"	"srv_100"	646	"∂L*M"	500	2011.828	22.8827808475858	1.02334906978864	2.01060399465365
"srv_100f"	"srv_100"	646	"Adp"	500	2065	0	0	0
"srv_100f"	"srv_100"	646	"DL*M+"	500	2081.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_100f"	"srv_100"	646	"DL*M"	500	2081.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_100h"	"null"	0	"L*M"	73	2506	0	0	0
"srv_100h"	"srv_097"	3360	"∂L*M"	500	2289.038	129.248376553376	5.78016311909679	11.3564563647925
"srv_100h"	"srv_097"	3360	"Adp"	500	2898	0	0	0
"srv_100h"	"srv_097"	3360	"DL*M+"	500	7097.228	827.488132382857	37.0063942916483	72.7075505192804
"srv_100h"	"srv_097"	3360	"DL*M"	500	6905.522	613.305078860033	27.427836945538	53.8882773781166
"srv_100h"	"srv_097c"	3086	"∂L*M"	500	2464.304	104.616005473361	4.67856999545853	9.19212397787051
"srv_100h"	"srv_097c"	3086	"Adp"	500	2898	0	0	0
"srv_100h"	"srv_097c"	3086	"DL*M+"	500	5047.4	225.68235431708	10.0928217115037	19.82966345459
"srv_100h"	"srv_097c"	3086	"DL*M"	500	4690.44	130.238821790597	5.8244571766651	11.4434822015431
"srv_100h"	"srv_097e"	2695	"∂L*M"	500	2462.072	101.320513762111	4.53119112574564	8.90256438093506
"srv_100h"	"srv_097e"	2695	"Adp"	500	2898	0	0	0
"srv_100h"	"srv_097e"	2695	"DL*M+"	500	5046.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_100h"	"srv_097e"	2695	"DL*M"	500	4688.646	127.66125283323	5.7091847885578	11.2170031526593
"srv_100h"	"srv_098f"	1614	"∂L*M"	500	2471.568	101.612950747033	4.54426930529409	8.92825946467451
"srv_100h"	"srv_098f"	1614	"Adp"	500	2898	0	0	0
"srv_100h"	"srv_098f"	1614	"DL*M+"	500	5033.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_100h"	"srv_098f"	1614	"DL*M"	500	4680.36	126.286051222876	5.64768390288744	11.096170555011
"srv_100h"	"srv_098l"	858	"∂L*M"	500	2273.348	39.681332036922	1.77460311744595	3.48661490218444
