SUL name|Seed|Cache|ClosingStrategy|ObservationTableCEXHandler|EquivalenceOracle|Method|Reading OT|Reused queries [resets]|Reused queries [symbols]|Rounds|MQ [resets]|MQ [symbols]|EQ [resets]|EQ [symbols]|Learning [ms]|Searching for counterexample [ms]|Qsize|Isize|Equivalent|Info|Reused prefixes|Reused suffixes
server_097c.dot.kiss|1548861149724|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_101.dot.ot|693|3486|6|1287|7523|6462|39958|43|140|14|7|OK|N/A|5/14|3/7
server_097c.dot.kiss|1548861150545|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_101.dot.ot|null|null|6|764|4535|6462|39958|47|141|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861151232|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_101k.dot.ot|null|null|4|955|5522|6512|40141|56|156|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861152152|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_101k.dot.ot|399|1624|7|1110|6358|6487|40062|34|149|14|7|OK|N/A|4/8|3/7
server_097c.dot.kiss|1548861153191|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_101k.dot.ot|546|2457|6|1118|6399|6491|40072|43|152|14|7|OK|N/A|6/8|3/7
server_097c.dot.kiss|1548861154148|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_101k.dot.ot|null|null|7|845|5089|6487|40062|53|181|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861155183|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_102.dot.ot|null|null|4|955|5522|6512|40141|39|142|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861156475|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_102.dot.ot|350|1281|5|806|4545|6302|38209|35|127|14|7|OK|N/A|7/7|3/7
server_097c.dot.kiss|1548861157420|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_102.dot.ot|497|2065|4|871|4808|6512|40141|41|134|14|7|OK|N/A|10/7|4/7
server_097c.dot.kiss|1548861158239|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_102.dot.ot|null|null|5|676|4047|6302|38209|71|147|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861159310|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_110pre1.dot.ot|null|null|4|955|5522|6512|40141|46|178|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861160219|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_110pre1.dot.ot|301|1134|6|785|4482|5836|35156|42|142|14|7|OK|N/A|6/6|2/7
server_097c.dot.kiss|1548861161176|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_110pre1.dot.ot|497|2065|4|871|4808|6512|40141|44|170|14|7|OK|N/A|10/6|4/7
server_097c.dot.kiss|1548861162262|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_110pre1.dot.ot|null|null|6|671|4033|5836|35156|53|151|14|7|OK|N/A|null|null
server_097.dot.kiss|1548861163230|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_097c.dot.ot|null|null|3|1146|6677|7596|47865|44|171|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861164211|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_097c.dot.ot|778|4287|5|1274|7585|8680|55405|42|166|17|7|OK|N/A|10/14|4/8
