Methods	Control	Treatment	Metric	Wilcox	VD	VD.magnitude
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098l	server_097	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098l	server_097e	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_098l	server_097e	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098l	server_097e	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098m	server_097	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_098m	server_097	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098m	server_097	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098m	server_098l	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_098m	server_098l	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098m	server_098l	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_100	server_097	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_100	server_097	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_100	server_097	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_100	server_098m	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_100	server_098m	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_100	server_098m	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098s	server_097	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_098s	server_097	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098s	server_097	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098s	server_100	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_098s	server_100	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098s	server_100	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098u	server_097	EQ_Reset	0	0,658	small
L*M vs Dynamic L*M (v2)	server_098u	server_097	EQ_Reset	0	0,653	small
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098u	server_097	EQ_Reset	0,6162	0,494	negligible
L*M vs Dynamic L*M (v1)	server_098u	server_098s	EQ_Reset	0	0,628	small
L*M vs Dynamic L*M (v2)	server_098u	server_098s	EQ_Reset	0	0,654	small
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098u	server_098s	EQ_Reset	0,0185	0,53	negligible
L*M vs Dynamic L*M (v1)	server_101	server_097	EQ_Reset	0	0,66	small
L*M vs Dynamic L*M (v2)	server_101	server_097	EQ_Reset	0	0,647	small
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101	server_097	EQ_Reset	0,1701	0,482	negligible
L*M vs Dynamic L*M (v1)	server_101	server_098u	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_101	server_098u	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101	server_098u	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098za	server_097	EQ_Reset	0,5989	0,493	negligible
L*M vs Dynamic L*M (v2)	server_098za	server_097	EQ_Reset	0,4968	0,491	negligible
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098za	server_097	EQ_Reset	0,8035	0,497	negligible
L*M vs Dynamic L*M (v1)	server_098za	server_101	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_098za	server_101	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098za	server_101	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_101k	server_097	EQ_Reset	0,2247	0,484	negligible
L*M vs Dynamic L*M (v2)	server_101k	server_097	EQ_Reset	0,223	0,484	negligible
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101k	server_097	EQ_Reset	0,9829	0,5	negligible
L*M vs Dynamic L*M (v1)	server_101k	server_098za	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_101k	server_098za	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101k	server_098za	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_102	server_097	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_102	server_097	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_102	server_097	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_102	server_101k	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_102	server_101k	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_102	server_101k	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_110pre1	server_097	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_110pre1	server_097	EQ_Reset	0	0,719	medium
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_110pre1	server_097	EQ_Reset	0	0	large
L*M vs Dynamic L*M (v1)	server_110pre1	server_102	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_110pre1	server_102	EQ_Reset	0	0,703	medium
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_110pre1	server_102	EQ_Reset	0	0	large
L*M vs Dynamic L*M (v1)	client_098m	client_098j	Total_Resets	0	1	large
L*M vs Dynamic L*M (v2)	client_098m	client_098j	Total_Resets	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098m	client_098j	Total_Resets	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_098m	client_098l	Total_Resets	0	1	large
L*M vs Dynamic L*M (v2)	client_098m	client_098l	Total_Resets	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098m	client_098l	Total_Resets	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_101	client_098j	Total_Resets	0	0,973	large
L*M vs Dynamic L*M (v2)	client_101	client_098j	Total_Resets	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101	client_098j	Total_Resets	0	1	large
L*M vs Dynamic L*M (v1)	client_101	client_098m	Total_Resets	0	0,973	large
