"SUL"	"Reuse"	"Method"	"N"	"TQ_Resets"	"sd"	"se"	"ci"
"srv_097e"	"srv_098l"	"∂L*M"	500	9753.408	5.28861748946734	0.236514164268865	0.464686329923929
"srv_097e"	"srv_098l"	"DL*M+"	500	9798.456	23.7033280262295	1.0600450551925	2.08270167570788
"srv_097e"	"srv_098l"	"DL*M"	500	9804.638	15.9696278612889	0.714183469464333	1.40317725301413
"srv_097e"	"srv_098l"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_098m"	"∂L*M"	500	9753.408	5.28861748946734	0.236514164268865	0.464686329923929
"srv_097e"	"srv_098m"	"DL*M+"	500	9765	0	0	0
"srv_097e"	"srv_098m"	"DL*M"	500	9765	0	0	0
"srv_097e"	"srv_098m"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_098s"	"∂L*M"	500	9752.736	4.61876281485419	0.206557352519245	0.405829301419165
"srv_097e"	"srv_098s"	"DL*M+"	500	9766.41	8.0256290372086	0.358917041787892	0.705174860927028
"srv_097e"	"srv_098s"	"DL*M"	500	9767.4	13.6606451697168	0.610922624319816	1.20029763562047
"srv_097e"	"srv_098s"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_098u"	"∂L*M"	500	9745.504	7.58663945343344	0.33928483077318	0.666602878936351
"srv_097e"	"srv_098u"	"DL*M+"	500	9953.68	56.0821184337399	2.50806858280073	4.92767605924143
"srv_097e"	"srv_098u"	"DL*M"	500	9953.508	55.7464372541696	2.493056464075	4.89818130835999
"srv_097e"	"srv_098u"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_098za"	"∂L*M"	500	9741.038	14.7572391800239	0.659963799335134	1.29665027354164
"srv_097e"	"srv_098za"	"DL*M+"	500	9916.61	102.151003691154	4.56833176446506	8.97553568542715
"srv_097e"	"srv_098za"	"DL*M"	500	9848.07	37.4733719755032	1.67586014166721	3.29261167551837
"srv_097e"	"srv_098za"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_100"	"∂L*M"	500	9753.184	5.08506241057461	0.227410904397476	0.446800887700811
"srv_097e"	"srv_100"	"DL*M+"	500	9765	0	0	0
"srv_097e"	"srv_100"	"DL*M"	500	9765	0	0	0
"srv_097e"	"srv_100"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_100f"	"∂L*M"	500	9752.932	4.83343565183202	0.216157813647348	0.424691609564584
"srv_097e"	"srv_100f"	"DL*M+"	500	9766.128	7.20050766413331	0.322016492190206	0.632675266588855
"srv_097e"	"srv_100f"	"DL*M"	500	9766.92	12.2561832580992	0.548113178196095	1.07689407078954
"srv_097e"	"srv_100f"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_100h"	"∂L*M"	500	9745.704	8.39412333798036	0.37539660790483	0.737552748827701
"srv_097e"	"srv_100h"	"DL*M+"	500	9957.664	53.683507168252	2.40079942597618	4.71692119408176
"srv_097e"	"srv_100h"	"DL*M"	500	9957.524	53.3681341202684	2.38669551450492	4.6892108246863
"srv_097e"	"srv_100h"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_100m"	"∂L*M"	500	9743.054	15.4504536190388	0.690965291507566	1.35755981637729
"srv_097e"	"srv_100m"	"DL*M+"	500	9911.164	102.449015151005	4.58165924211105	9.00172057246597
"srv_097e"	"srv_100m"	"DL*M"	500	9846.23	38.8241642725626	1.73626940966137	3.41129953983454
"srv_097e"	"srv_100m"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_101"	"∂L*M"	500	9746.604	8.25320633630708	0.369094608006292	0.725171024405042
"srv_097e"	"srv_101"	"DL*M+"	500	10047.88	60.4021725179631	2.7012672747767	5.30725920766701
"srv_097e"	"srv_101"	"DL*M"	500	10047.88	60.4021725179631	2.7012672747767	5.30725920766701
"srv_097e"	"srv_101"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_101h"	"∂L*M"	500	9740.58	15.0970009895262	0.675158409379244	1.3265035704799
"srv_097e"	"srv_101h"	"DL*M+"	500	9923.432	101.81688825272	4.55338966781165	8.94617850896921
"srv_097e"	"srv_101h"	"DL*M"	500	9849.678	37.682492705672	1.68521230503045	3.31098614574744
"srv_097e"	"srv_101h"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_101k"	"∂L*M"	500	9731.512	7.03568459465252	0.314645380437822	0.618193026684691
"srv_097e"	"srv_101k"	"DL*M+"	500	9917.732	102.514753696485	4.58459915923975	9.00749671405578
"srv_097e"	"srv_101k"	"DL*M"	500	9812.358	25.4846772305849	1.13970941344458	2.23922058177991
"srv_097e"	"srv_101k"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_102"	"∂L*M"	500	9734.544	7.16762259241197	0.320545827073929	0.629785807610605
"srv_097e"	"srv_102"	"DL*M+"	500	9765.658	5.52758032855038	0.247200907314586	0.48568288807979
"srv_097e"	"srv_102"	"DL*M"	500	9742.404	8.00831131389136	0.358142569656835	0.703653232768639
"srv_097e"	"srv_102"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_110pre1"	"∂L*M"	500	9775.652	5.83394942829159	0.26090214997912	0.512602122235856
"srv_097e"	"srv_110pre1"	"DL*M+"	500	9794.034	6.90102109722675	0.308623045751184	0.606360768723489
"srv_097e"	"srv_110pre1"	"DL*M"	500	9248.408	5.11290716122233	0.228656159502772	0.449247477005465
"srv_097e"	"srv_110pre1"	"Adp"	500	9820	0	0	0
"srv_098f"	"null"	"L*M"	73	9820	0	0	0
"srv_098f"	"srv_097"	"∂L*M"	500	9742.016	10.5621428566104	0.472353388308895	0.928046584943106
"srv_098f"	"srv_097"	"DL*M+"	500	10267.922	147.846423852903	6.61189307930674	12.990580662982
"srv_098f"	"srv_097"	"DL*M"	500	10228.536	110.721484809394	4.95161533207029	9.72858417578376
"srv_098f"	"srv_097"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_097c"	"∂L*M"	500	9745.652	8.73013898247368	0.39042368435664	0.767076887593191
"srv_098f"	"srv_097c"	"DL*M+"	500	9818	0	0	0
"srv_098f"	"srv_097c"	"DL*M"	500	9843.89	19.515625002507	0.872765282580004	1.71474760211861
