"SUL"	"Reuse"	"Method"	"N"	"EQ_Resets"	"sd"	"se"	"ci"
"srv_098l"	"srv_097"	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_097"	"DL*M"	500	5626.542	119.506736027355	5.34450371052576	10.5005035203127
"srv_098l"	"srv_097"	"Adp"	500	5518	0	0	0
"srv_098l"	"srv_097c"	"∂L*M"	500	5518	0	0	0
"srv_098l"	"srv_097c"	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_097c"	"DL*M"	500	5518	0	0	0
"srv_098l"	"srv_097c"	"Adp"	500	5518	0	0	0
"srv_098l"	"srv_097e"	"∂L*M"	500	5518	0	0	0
"srv_098l"	"srv_097e"	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_097e"	"DL*M"	500	5518	0	0	0
"srv_098l"	"srv_097e"	"Adp"	500	5518	0	0	0
"srv_098l"	"srv_098f"	"∂L*M"	500	5518	0	0	0
"srv_098l"	"srv_098f"	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_098f"	"DL*M"	500	5518	0	0	0
"srv_098l"	"srv_098f"	"Adp"	500	5518	0	0	0
"srv_098l"	"srv_098m"	"∂L*M"	500	5518	0	0	0
"srv_098l"	"srv_098m"	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_098m"	"DL*M"	500	5518	0	0	0
"srv_098l"	"srv_098m"	"Adp"	500	5518	0	0	0
"srv_098l"	"srv_098s"	"∂L*M"	500	5518	0	0	0
"srv_098l"	"srv_098s"	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_098s"	"DL*M"	500	5518	0	0	0
"srv_098l"	"srv_098s"	"Adp"	500	5518	0	0	0
"srv_098l"	"srv_098u"	"∂L*M"	500	5506.736	11.0078448980078	0.492285789554395	0.9672083595031
"srv_098l"	"srv_098u"	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_098u"	"DL*M"	500	5640.056	123.333771946719	5.51565395988639	10.8367674455064
"srv_098l"	"srv_098u"	"Adp"	500	5518	0	0	0
"srv_098l"	"srv_098za"	"∂L*M"	500	5506.232	10.5343305549276	0.471109584365423	0.925602846778741
"srv_098l"	"srv_098za"	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_098za"	"DL*M"	500	5527.644	26.444278468649	1.18262408543667	2.32353629914735
"srv_098l"	"srv_098za"	"Adp"	500	5518	0	0	0
"srv_098l"	"srv_100"	"∂L*M"	500	5518	0	0	0
"srv_098l"	"srv_100"	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_100"	"DL*M"	500	5518	0	0	0
"srv_098l"	"srv_100"	"Adp"	500	5518	0	0	0
