"Control"	"Treatment"	"DeltaQ"	"Measure"	"Wilcox"	"VD"	"VD.magnitude"
"∂L*M"	"DL*M+"	11	"MQ_Resets_Diff"	1.93260960574826e-173	0	"large"
"∂L*M"	"DL*M+"	9	"TQ_Resets_Diff"	1.1713491589037e-173	0	"large"
"∂L*M"	"DL*M+"	9	"EQ_Resets_Diff"	1.03107028649817e-71	0.743	"large"
"∂L*M"	"DL*M+"	9	"MQ_Resets_Diff"	1.1713491589037e-173	0	"large"
"∂L*M"	"Adp"	0	"TQ_Resets_Diff"	0	0.031435546875	"large"
"∂L*M"	"Adp"	0	"EQ_Resets_Diff"	0	0.6150625	"small"
"∂L*M"	"Adp"	0	"MQ_Resets_Diff"	0	0.031435546875	"large"
"∂L*M"	"Adp"	3	"TQ_Resets_Diff"	0	0.133692148760331	"large"
"∂L*M"	"Adp"	3	"EQ_Resets_Diff"	4.07886295910897e-18	0.522727272727273	"negligible"
"∂L*M"	"Adp"	3	"MQ_Resets_Diff"	0	0.133692148760331	"large"
"∂L*M"	"Adp"	-3	"TQ_Resets_Diff"	0	0.316818181818182	"medium"
"∂L*M"	"Adp"	-3	"EQ_Resets_Diff"	0	0.646136363636364	"small"
"∂L*M"	"Adp"	-3	"MQ_Resets_Diff"	0	0.316818181818182	"medium"
"∂L*M"	"Adp"	-4	"TQ_Resets_Diff"	0	0.151304347826087	"large"
"∂L*M"	"Adp"	-4	"EQ_Resets_Diff"	0	0.69595652173913	"medium"
"∂L*M"	"Adp"	-4	"MQ_Resets_Diff"	0	0.151304347826087	"large"
"∂L*M"	"Adp"	-2	"TQ_Resets_Diff"	0	0.123259259259259	"large"
"∂L*M"	"Adp"	-2	"EQ_Resets_Diff"	3.75724757109246e-95	0.44537037037037	"negligible"
"∂L*M"	"Adp"	-2	"MQ_Resets_Diff"	0	0.123259259259259	"large"
"∂L*M"	"Adp"	-5	"TQ_Resets_Diff"	0	0.201529411764706	"large"
"∂L*M"	"Adp"	-5	"EQ_Resets_Diff"	0	0.327294117647059	"medium"
"∂L*M"	"Adp"	-5	"MQ_Resets_Diff"	0	0.201529411764706	"large"
"∂L*M"	"Adp"	-6	"TQ_Resets_Diff"	0	0.128571428571429	"large"
"∂L*M"	"Adp"	-6	"EQ_Resets_Diff"	0.517261806444378	0.496	"negligible"
"∂L*M"	"Adp"	-6	"MQ_Resets_Diff"	0	0.128571428571429	"large"
"∂L*M"	"Adp"	-7	"TQ_Resets_Diff"	0	0.016	"large"
"∂L*M"	"Adp"	-7	"EQ_Resets_Diff"	1.75418252670141e-136	0.379	"small"
"∂L*M"	"Adp"	-7	"MQ_Resets_Diff"	0	0.016	"large"
"∂L*M"	"Adp"	-8	"TQ_Resets_Diff"	0	0	"large"
"∂L*M"	"Adp"	-8	"EQ_Resets_Diff"	0	0.152285714285714	"large"
"∂L*M"	"Adp"	-8	"MQ_Resets_Diff"	0	0	"large"
"∂L*M"	"Adp"	4	"TQ_Resets_Diff"	0	0.269941398865784	"medium"
"∂L*M"	"Adp"	4	"EQ_Resets_Diff"	4.02803540866974e-39	0.521304347826087	"negligible"
"∂L*M"	"Adp"	4	"MQ_Resets_Diff"	0	0.269941398865784	"medium"
"∂L*M"	"Adp"	7	"TQ_Resets_Diff"	0	0.08553125	"large"
"∂L*M"	"Adp"	7	"EQ_Resets_Diff"	6.44199636153421e-15	0.4685	"negligible"
"∂L*M"	"Adp"	7	"MQ_Resets_Diff"	0	0.08553125	"large"
"∂L*M"	"Adp"	1	"TQ_Resets_Diff"	0	0.0237391304347826	"large"
"∂L*M"	"Adp"	1	"EQ_Resets_Diff"	0.599993750880027	0.500869565217391	"negligible"
"∂L*M"	"Adp"	1	"MQ_Resets_Diff"	0	0.0237391304347826	"large"
"∂L*M"	"Adp"	2	"TQ_Resets_Diff"	0	0.0184362139917695	"large"
"∂L*M"	"Adp"	2	"EQ_Resets_Diff"	2.13883507287079e-14	0.484	"negligible"
"∂L*M"	"Adp"	2	"MQ_Resets_Diff"	0	0.0184362139917695	"large"
"∂L*M"	"Adp"	-1	"TQ_Resets_Diff"	0	0.244869565217391	"large"
"∂L*M"	"Adp"	-1	"EQ_Resets_Diff"	4.26555782250257e-29	0.534173913043478	"negligible"
"∂L*M"	"Adp"	-1	"MQ_Resets_Diff"	0	0.244869565217391	"large"
"∂L*M"	"Adp"	-9	"TQ_Resets_Diff"	6.18110904352897e-192	0	"large"
"∂L*M"	"Adp"	-9	"EQ_Resets_Diff"	4.5135093566737e-194	0.001	"large"
"∂L*M"	"Adp"	-9	"MQ_Resets_Diff"	6.18110904352897e-192	0	"large"
"∂L*M"	"Adp"	-10	"TQ_Resets_Diff"	1.57570955155179e-204	0	"large"
"∂L*M"	"Adp"	-10	"EQ_Resets_Diff"	2.05456064210534e-212	0.008	"large"
"∂L*M"	"Adp"	-10	"MQ_Resets_Diff"	1.57570955155179e-204	0	"large"
"∂L*M"	"Adp"	-11	"TQ_Resets_Diff"	1.60994331657843e-200	0	"large"
"∂L*M"	"Adp"	-11	"EQ_Resets_Diff"	6.64236081427741e-210	0.011	"large"
"∂L*M"	"Adp"	-11	"MQ_Resets_Diff"	1.60994331657843e-200	0	"large"
"∂L*M"	"Adp"	6	"TQ_Resets_Diff"	0	0.055	"large"
"∂L*M"	"Adp"	6	"EQ_Resets_Diff"	3.53415844581638e-66	0.427857142857143	"negligible"
"∂L*M"	"Adp"	6	"MQ_Resets_Diff"	0	0.055	"large"
"∂L*M"	"Adp"	5	"TQ_Resets_Diff"	0	0.0184359861591696	"large"
"∂L*M"	"Adp"	5	"EQ_Resets_Diff"	6.57564480415739e-74	0.542352941176471	"negligible"
"∂L*M"	"Adp"	5	"MQ_Resets_Diff"	0	0.0184359861591696	"large"
"∂L*M"	"Adp"	8	"TQ_Resets_Diff"	0	0.0764489795918367	"large"
"∂L*M"	"Adp"	8	"EQ_Resets_Diff"	2.37549300995988e-60	0.568142857142857	"negligible"
"∂L*M"	"Adp"	8	"MQ_Resets_Diff"	0	0.0764489795918367	"large"
"∂L*M"	"Adp"	10	"TQ_Resets_Diff"	3.34769625523633e-171	0.037	"large"
"∂L*M"	"Adp"	10	"EQ_Resets_Diff"	1.03107028649817e-71	0.257	"large"
"∂L*M"	"Adp"	10	"MQ_Resets_Diff"	3.34769625523633e-171	0.037	"large"
"∂L*M"	"Adp"	11	"TQ_Resets_Diff"	3.34769625523633e-171	0.037	"large"
"∂L*M"	"Adp"	11	"EQ_Resets_Diff"	1.03107028649817e-71	0.257	"large"
"∂L*M"	"Adp"	11	"MQ_Resets_Diff"	3.34769625523633e-171	0.037	"large"
"∂L*M"	"Adp"	9	"TQ_Resets_Diff"	1.91713479685184e-192	0	"large"
