"SUL"	"Reuse"	"Method"	"N"	"MQ_Resets"	"sd"	"se"	"ci"
"srv_097e"	"srv_101k"	"∂L*M"	500	869.292	8.35621856927852	0.373701455115056	0.734222232319417
"srv_097e"	"srv_101k"	"DL*M+"	500	1052.784	113.164117895905	5.06085320458089	9.9432070345143
"srv_097e"	"srv_101k"	"DL*M"	500	982.612	51.9255040605663	2.32217913690735	4.5624536014203
"srv_097e"	"srv_101k"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_102"	"∂L*M"	500	863.464	7.32256402414998	0.327475018551875	0.643399793763108
"srv_097e"	"srv_102"	"DL*M+"	500	889.658	5.52758032855038	0.247200907314586	0.48568288807979
"srv_097e"	"srv_102"	"DL*M"	500	883.302	7.57268030316531	0.338660558595027	0.665376353039958
"srv_097e"	"srv_102"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_110pre1"	"∂L*M"	500	904.542	6.07635418325172	0.271742820182321	0.533901105602089
"srv_097e"	"srv_110pre1"	"DL*M+"	500	918.034	6.90102109722675	0.308623045751184	0.606360768723489
"srv_097e"	"srv_110pre1"	"DL*M"	500	916.144	4.80764921577728	0.215004609169031	0.422425874832217
"srv_097e"	"srv_110pre1"	"Adp"	500	945	0	0	0
"srv_098f"	"null"	"L*M"	73	945	0	0	0
"srv_098f"	"srv_097"	"∂L*M"	500	876.222	18.3395035587543	0.82016753261948	1.61140725687135
"srv_098f"	"srv_097"	"DL*M+"	500	1393.596	145.869065784029	6.52346293814955	12.8168393656013
"srv_098f"	"srv_097"	"DL*M"	500	1385.592	137.837280035319	6.16427055985298	12.1111235429433
"srv_098f"	"srv_097"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_097c"	"∂L*M"	500	869.652	8.73013898247368	0.39042368435664	0.767076887593191
"srv_098f"	"srv_097c"	"DL*M+"	500	948	0	0	0
"srv_098f"	"srv_097c"	"DL*M"	500	967.89	19.515625002507	0.872765282580004	1.71474760211861
"srv_098f"	"srv_097c"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_097e"	"∂L*M"	500	869.4	8.21943539645351	0.36758432566276	0.722203728296014
"srv_098f"	"srv_097e"	"DL*M+"	500	948	0	0	0
"srv_098f"	"srv_097e"	"DL*M"	500	968.124	19.5095327400599	0.872492828320635	1.71421230322753
"srv_098f"	"srv_097e"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_098l"	"∂L*M"	500	877.408	5.28861748946734	0.236514164268865	0.464686329923929
"srv_098f"	"srv_098l"	"DL*M+"	500	922.716	23.279932442106	1.04111022904303	2.04549986625877
"srv_098f"	"srv_098l"	"DL*M"	500	928.666	16.0787903462293	0.719065364202721	1.41276885509035
"srv_098f"	"srv_098l"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_098m"	"∂L*M"	500	877.408	5.28861748946734	0.236514164268865	0.464686329923929
"srv_098f"	"srv_098m"	"DL*M+"	500	889	0	0	0
